code,area,year,qualification,number,denominator,percent,confidence
E12000007,London,2004,NVQ4+,1571900,4925900,31.9,0.7
E12000007,London,2004,NVQ3 only,576900,4925900,11.7,0.5
E12000007,London,2004,Trade Apprenticeships,167900,4925900,3.4,0.3
E12000007,London,2004,NVQ2 only,589900,4925900,12,0.5
E12000007,London,2004,NVQ1 only,533800,4925900,10.8,0.4
E12000007,London,2004,other qualifications,776000,4925900,15.8,0.5
E12000007,London,2004,no qualifications,709500,4925900,14.4,0.5
E12000007,London,2005,NVQ4+,1686900,5005900,33.7,0.7
E12000007,London,2005,NVQ3 only,587300,5005900,11.7,0.5
E12000007,London,2005,Trade Apprenticeships,157200,5005900,3.1,0.3
E12000007,London,2005,NVQ2 only,576900,5005900,11.5,0.5
E12000007,London,2005,NVQ1 only,522700,5005900,10.4,0.4
E12000007,London,2005,other qualifications,764300,5005900,15.3,0.5
E12000007,London,2005,no qualifications,710700,5005900,14.2,0.5
E12000007,London,2006,NVQ4+,1781100,5084200,35,0.7
E12000007,London,2006,NVQ3 only,605500,5084200,11.9,0.5
E12000007,London,2006,Trade Apprenticeships,127900,5084200,2.5,0.2
E12000007,London,2006,NVQ2 only,591000,5084200,11.6,0.5
E12000007,London,2006,NVQ1 only,495200,5084200,9.7,0.4
E12000007,London,2006,other qualifications,785300,5084200,15.4,0.5
E12000007,London,2006,no qualifications,698300,5084200,13.7,0.5
E12000007,London,2007,NVQ4+,1914600,5160700,37.1,0.7
E12000007,London,2007,NVQ3 only,637900,5160700,12.4,0.5
E12000007,London,2007,Trade Apprenticeships,97800,5160700,1.9,0.2
E12000007,London,2007,NVQ2 only,597100,5160700,11.6,0.5
E12000007,London,2007,NVQ1 only,495500,5160700,9.6,0.4
E12000007,London,2007,other qualifications,749900,5160700,14.5,0.5
E12000007,London,2007,no qualifications,667900,5160700,12.9,0.5
E12000007,London,2008,NVQ4+,2026100,5344800,37.9,0.7
E12000007,London,2008,NVQ3 only,637600,5344800,11.9,0.5
E12000007,London,2008,Trade Apprenticeships,104100,5344800,1.9,0.2
E12000007,London,2008,NVQ2 only,604200,5344800,11.3,0.5
E12000007,London,2008,NVQ1 only,531600,5344800,9.9,0.4
E12000007,London,2008,other qualifications,761800,5344800,14.3,0.5
E12000007,London,2008,no qualifications,679500,5344800,12.7,0.5
E12000007,London,2009,NVQ4+,2136500,5441200,39.3,0.7
E12000007,London,2009,NVQ3 only,652100,5441200,12,0.5
E12000007,London,2009,Trade Apprenticeships,88000,5441200,1.6,0.2
E12000007,London,2009,NVQ2 only,623600,5441200,11.5,0.5
E12000007,London,2009,NVQ1 only,513800,5441200,9.4,0.4
E12000007,London,2009,other qualifications,783800,5441200,14.4,0.5
E12000007,London,2009,no qualifications,643400,5441200,11.8,0.5
E12000007,London,2010,NVQ4+,!,5521800,41.2,0.7
E12000007,London,2010,NVQ3 only,675500,5521800,12.2,0.5
E12000007,London,2010,Trade Apprenticeships,95000,5521800,1.7,0.2
E12000007,London,2010,NVQ2 only,648100,5521800,11.7,0.5
E12000007,London,2010,NVQ1 only,503600,5521800,9.1,0.4
E12000007,London,2010,other qualifications,773800,5521800,14,0.5
E12000007,London,2010,no qualifications,552600,5521800,10,0.4
E12000007,London,2011,NVQ4+,2532300,5583900,45.3,0.7
E12000007,London,2011,NVQ3 only,682700,5583900,12.2,0.5
E12000007,London,2011,Trade Apprenticeships,79900,5583900,1.4,0.2
E12000007,London,2011,NVQ2 only,677200,5583900,12.1,0.5
E12000007,London,2011,NVQ1 only,546400,5583900,9.8,0.4
E12000007,London,2011,other qualifications,541700,5583900,9.7,0.4
E12000007,London,2011,no qualifications,523800,5583900,9.4,0.4
E12000007,London,2012,NVQ4+,2654400,5647100,47,0.7
E12000007,London,2012,NVQ3 only,798900,5647100,14.1,0.5
E12000007,London,2012,Trade Apprenticeships,84000,5647100,1.5,0.2
E12000007,London,2012,NVQ2 only,681500,5647100,12.1,0.5
E12000007,London,2012,NVQ1 only,482300,5647100,8.5,0.4
E12000007,London,2012,other qualifications,457500,5647100,8.1,0.4
E12000007,London,2012,no qualifications,488600,5647100,8.7,0.4
E12000007,London,2013,NVQ4+,2761200,5700300,48.4,0.7
E12000007,London,2013,NVQ3 only,762500,5700300,13.4,0.5
E12000007,London,2013,Trade Apprenticeships,88700,5700300,1.6,0.2
E12000007,London,2013,NVQ2 only,674300,5700300,11.8,0.5
E12000007,London,2013,NVQ1 only,495400,5700300,8.7,0.4
E12000007,London,2013,other qualifications,463900,5700300,8.1,0.4
E12000007,London,2013,no qualifications,454300,5700300,8,0.4
E12000007,London,2014,NVQ4+,2836000,5771300,49.1,0.7
E12000007,London,2014,NVQ3 only,800500,5771300,13.9,0.5
E12000007,London,2014,Trade Apprenticeships,89800,5771300,1.6,0.2
E12000007,London,2014,NVQ2 only,673400,5771300,11.7,0.5
E12000007,London,2014,NVQ1 only,453700,5771300,7.9,0.4
E12000007,London,2014,other qualifications,463500,5771300,8,0.4
E12000007,London,2014,no qualifications,454300,5771300,7.9,0.4
E12000007,London,2015,NVQ4+,2911000,5841700,49.8,0.7
E12000007,London,2015,NVQ3 only,819700,5841700,14,0.5
E12000007,London,2015,Trade Apprenticeships,77800,5841700,1.3,0.2
E12000007,London,2015,NVQ2 only,639300,5841700,10.9,0.5
E12000007,London,2015,NVQ1 only,465500,5841700,8,0.4
E12000007,London,2015,other qualifications,498600,5841700,8.5,0.4
E12000007,London,2015,no qualifications,429700,5841700,7.4,0.4
E12000007,London,2016,NVQ4+,3075100,5915300,52,0.8
E12000007,London,2016,NVQ3 only,812800,5915300,13.7,0.5
E12000007,London,2016,Trade Apprenticeships,69100,5915300,1.2,0.2
E12000007,London,2016,NVQ2 only,638300,5915300,10.8,0.5
E12000007,London,2016,NVQ1 only,448900,5915300,7.6,0.4
E12000007,London,2016,other qualifications,483000,5915300,8.2,0.4
E12000007,London,2016,no qualifications,388200,5915300,6.6,0.4
E12000007,London,2017,NVQ4+,3056000,5923900,51.6,0.8
E12000007,London,2017,NVQ3 only,806200,5923900,13.6,0.5
E12000007,London,2017,Trade Apprenticeships,65100,5923900,1.1,0.2
E12000007,London,2017,NVQ2 only,642900,5923900,10.9,0.5
E12000007,London,2017,NVQ1 only,405300,5923900,6.8,0.4
E12000007,London,2017,other qualifications,542100,5923900,9.2,0.5
E12000007,London,2017,no qualifications,406200,5923900,6.9,0.4
E12000007,London,2018,NVQ4+,3186900,6007300,53.1,0.8
E12000007,London,2018,NVQ3 only,759900,6007300,12.7,0.5
E12000007,London,2018,Trade Apprenticeships,69000,6007300,1.1,0.2
E12000007,London,2018,NVQ2 only,667200,6007300,11.1,0.5
E12000007,London,2018,NVQ1 only,412800,6007300,6.9,0.4
E12000007,London,2018,other qualifications,512200,6007300,8.5,0.5
E12000007,London,2018,no qualifications,399100,6007300,6.6,0.4
E12000007,London,2019,NVQ4+,3280300,6055300,54.2,0.9
E12000007,London,2019,NVQ3 only,742800,6055300,12.3,0.6
E12000007,London,2019,Trade Apprenticeships,70300,6055300,1.2,0.2
E12000007,London,2019,NVQ2 only,659300,6055300,10.9,0.5
E12000007,London,2019,NVQ1 only,392800,6055300,6.5,0.4
E12000007,London,2019,other qualifications,503300,6055300,8.3,0.5
E12000007,London,2019,no qualifications,406500,6055300,6.7,0.4
E12000007,London,2020,NVQ4+,3573700,6091400,58.7,1.6
E12000007,London,2020,NVQ3 only,720900,6091400,11.8,1
E12000007,London,2020,Trade Apprenticeships,60600,6091400,1,0.3
E12000007,London,2020,NVQ2 only,607000,6091400,10,1
E12000007,London,2020,NVQ1 only,372400,6091400,6.1,0.8
E12000007,London,2020,other qualifications,438500,6091400,7.2,0.8
E12000007,London,2020,no qualifications,318400,6091400,5.2,0.7
E12000007,London,2021,NVQ4+,3590200,6095200,58.9,1.6
E12000007,London,2021,NVQ3 only,733500,6095200,12,1
E12000007,London,2021,Trade Apprenticeships,52000,6095200,0.9,0.3
E12000007,London,2021,NVQ2 only,589800,6095200,9.7,0.9
E12000007,London,2021,NVQ1 only,351400,6095200,5.8,0.7
E12000007,London,2021,other qualifications,445300,6095200,7.3,0.8
E12000007,London,2021,no qualifications,332900,6095200,5.5,0.7
