code,area,year,qualification,number,denominator,percent,confidence
E09000007,Camden,2004,NVQ1 only,9100,145500,6.2,2.1
E09000007,Camden,2005,NVQ1 only,11900,149100,8,2.4
E09000007,Camden,2006,NVQ1 only,9700,149100,6.5,2
E09000007,Camden,2007,NVQ1 only,8900,149700,6,1.7
E09000007,Camden,2008,NVQ1 only,10200,151200,6.8,1.8
E09000007,Camden,2009,NVQ1 only,10300,153200,6.7,2
E09000007,Camden,2010,NVQ1 only,8000,153800,5.2,1.9
E09000002,Barking and Dagenham,2004,NVQ1 only,21200,101800,20.8,3.5
E09000003,Barnet,2004,NVQ1 only,15700,206600,7.6,2.2
E09000004,Bexley,2004,NVQ1 only,26900,134900,20,3.6
E09000005,Brent,2004,NVQ1 only,14700,178400,8.2,2.2
E09000006,Bromley,2004,NVQ1 only,23900,180500,13.2,2.8
E09000007,Camden,2011,NVQ1 only,9900,156900,6.3,2.1
E09000008,Croydon,2004,NVQ1 only,36400,213700,17,3
E09000009,Ealing,2004,NVQ1 only,17600,208500,8.5,2.2
E09000010,Enfield,2004,NVQ1 only,28900,178400,16.2,3.2
E09000014,Haringey,2004,NVQ1 only,12700,155300,8.2,2
E09000015,Harrow,2004,NVQ1 only,12100,139100,8.7,2.6
E09000016,Havering,2004,NVQ1 only,27200,137900,19.7,3.5
E09000017,Hillingdon,2004,NVQ1 only,19500,157700,12.4,2.7
E09000018,Hounslow,2004,NVQ1 only,18400,147000,12.5,2.5
E09000021,Kingston upon Thames,2004,NVQ1 only,10200,101300,10.1,2.6
E09000007,Camden,2012,NVQ1 only,8400,158900,5.3,1.9
E09000024,Merton,2004,NVQ1 only,11900,127200,9.3,2.5
E09000025,Newham,2004,NVQ1 only,19500,166500,11.7,2.5
E09000026,Redbridge,2004,NVQ1 only,22900,158000,14.5,2.9
E09000027,Richmond upon Thames,2004,NVQ1 only,7900,119200,6.6,2.2
E09000029,Sutton,2004,NVQ1 only,17700,114500,15.5,3.1
E09000031,Waltham Forest,2004,NVQ1 only,22100,148300,14.9,2.8
E09000007,Camden,2013,NVQ1 only,8700,162500,5.3,1.9
E09000007,Camden,2014,NVQ1 only,8600,166100,5.2,1.7
E09000007,Camden,2015,NVQ1 only,9600,169900,5.7,2
E09000007,Camden,2016,NVQ1 only,8800,169900,5.2,1.9
E09000007,Camden,2017,NVQ1 only,8500,176100,4.8,1.9
E09000007,Camden,2018,NVQ1 only,12400,181100,6.8,2.4
E09000007,Camden,2019,NVQ1 only,12000,185600,6.5,2.4
E09000007,Camden,2020,NVQ1 only,22200,186500,11.9,6.1
E09000007,Camden,2021,NVQ1 only,12300,183700,6.7,6.2
E09000002,Barking and Dagenham,2005,NVQ1 only,20200,102400,19.7,3.3
E09000003,Barnet,2005,NVQ1 only,14800,212000,7,2.3
E09000004,Bexley,2005,NVQ1 only,25700,135400,19,3.5
E09000005,Brent,2005,NVQ1 only,10600,180700,5.8,2
E09000006,Bromley,2005,NVQ1 only,23400,183400,12.8,2.8
E09000008,Croydon,2005,NVQ1 only,32300,217000,14.9,2.8
E09000009,Ealing,2005,NVQ1 only,18400,211700,8.7,2.2
E09000010,Enfield,2005,NVQ1 only,31500,180000,17.5,3.4
E09000014,Haringey,2005,NVQ1 only,13600,157300,8.6,2.1
E09000015,Harrow,2005,NVQ1 only,12500,142200,8.8,2.6
E09000016,Havering,2005,NVQ1 only,27600,138200,20,3.6
E09000017,Hillingdon,2005,NVQ1 only,16400,160500,10.2,2.5
E09000018,Hounslow,2005,NVQ1 only,20000,150100,13.3,2.8
E09000021,Kingston upon Thames,2005,NVQ1 only,9600,102400,9.3,2.5
E09000024,Merton,2005,NVQ1 only,13700,128700,10.7,2.7
E09000025,Newham,2005,NVQ1 only,18500,167000,11.1,2.5
E09000026,Redbridge,2005,NVQ1 only,19600,159400,12.3,2.8
E09000027,Richmond upon Thames,2005,NVQ1 only,6200,119200,5.2,1.8
E09000029,Sutton,2005,NVQ1 only,17200,115600,14.9,3.1
E09000031,Waltham Forest,2005,NVQ1 only,15700,149400,10.5,2.4
E09000002,Barking and Dagenham,2006,NVQ1 only,20800,102700,20.3,3.3
E09000003,Barnet,2006,NVQ1 only,16300,213200,7.7,2.3
E09000004,Bexley,2006,NVQ1 only,26400,136600,19.3,3.3
E09000005,Brent,2006,NVQ1 only,16600,183400,9.1,2.6
E09000006,Bromley,2006,NVQ1 only,22100,186000,11.9,2.8
E09000008,Croydon,2006,NVQ1 only,25200,221100,11.4,2.5
E09000009,Ealing,2006,NVQ1 only,18600,213900,8.7,2.2
E09000010,Enfield,2006,NVQ1 only,19600,181900,10.8,2.6
E09000014,Haringey,2006,NVQ1 only,11900,160600,7.4,2.1
E09000015,Harrow,2006,NVQ1 only,13200,144500,9.1,2.6
E09000016,Havering,2006,NVQ1 only,22900,139200,16.5,3.3
E09000017,Hillingdon,2006,NVQ1 only,18100,162300,11.1,2.7
E09000018,Hounslow,2006,NVQ1 only,15800,154200,10.3,2.4
E09000021,Kingston upon Thames,2006,NVQ1 only,10000,104000,9.6,2.4
E09000024,Merton,2006,NVQ1 only,13500,129900,10.4,2.4
E09000025,Newham,2006,NVQ1 only,17900,171200,10.5,2.3
E09000026,Redbridge,2006,NVQ1 only,17300,163200,10.6,2.7
E09000027,Richmond upon Thames,2006,NVQ1 only,8400,122100,6.8,2
E09000029,Sutton,2006,NVQ1 only,16900,117000,14.4,3.3
E09000031,Waltham Forest,2006,NVQ1 only,21100,151900,13.9,2.9
E09000011,Greenwich,2004,NVQ1 only,17800,148700,12,2.5
E09000011,Greenwich,2005,NVQ1 only,19200,151200,12.7,2.6
E09000011,Greenwich,2006,NVQ1 only,18600,154500,12.1,2.7
E09000011,Greenwich,2007,NVQ1 only,19100,156400,12.2,2.6
E09000011,Greenwich,2008,NVQ1 only,18400,159700,11.5,2.8
E09000011,Greenwich,2009,NVQ1 only,17800,163400,10.9,2.6
E09000011,Greenwich,2010,NVQ1 only,22800,167600,13.6,2.7
E09000011,Greenwich,2011,NVQ1 only,16900,166900,10.1,2.3
E09000011,Greenwich,2012,NVQ1 only,16500,173900,9.5,2.4
E09000011,Greenwich,2013,NVQ1 only,16700,176400,9.5,2.6
E09000002,Barking and Dagenham,2007,NVQ1 only,16300,103500,15.7,3.1
E09000003,Barnet,2007,NVQ1 only,20100,214800,9.4,2.3
E09000004,Bexley,2007,NVQ1 only,25200,138000,18.2,3.2
E09000005,Brent,2007,NVQ1 only,13700,189100,7.2,2.3
E09000006,Bromley,2007,NVQ1 only,25300,186900,13.5,2.9
E09000011,Greenwich,2014,NVQ1 only,14600,178900,8.2,2.5
E09000008,Croydon,2007,NVQ1 only,23700,222800,10.6,2.6
E09000009,Ealing,2007,NVQ1 only,13100,215400,6.1,1.9
E09000010,Enfield,2007,NVQ1 only,21400,185800,11.5,2.7
E09000014,Haringey,2007,NVQ1 only,13000,163500,8,2.2
E09000015,Harrow,2007,NVQ1 only,13300,145600,9.1,2.5
E09000016,Havering,2007,NVQ1 only,28200,140000,20.1,3.3
E09000017,Hillingdon,2007,NVQ1 only,24700,164800,15,3.1
E09000018,Hounslow,2007,NVQ1 only,18000,160000,11.2,2.6
E09000021,Kingston upon Thames,2007,NVQ1 only,9100,104400,8.7,2.5
E09000011,Greenwich,2015,NVQ1 only,20100,183200,11,2.8
E09000024,Merton,2007,NVQ1 only,12400,131400,9.5,2.4
E09000025,Newham,2007,NVQ1 only,18100,177400,10.2,2.4
E09000026,Redbridge,2007,NVQ1 only,16100,166800,9.7,2.6
E09000027,Richmond upon Thames,2007,NVQ1 only,7200,121000,6,2
E09000029,Sutton,2007,NVQ1 only,13800,117400,11.8,3
E09000031,Waltham Forest,2007,NVQ1 only,16700,155600,10.7,2.7
E09000011,Greenwich,2016,NVQ1 only,15400,182900,8.4,2.6
E09000011,Greenwich,2017,NVQ1 only,9500,189300,5,1.9
E09000011,Greenwich,2018,NVQ1 only,16300,194400,8.4,2.6
E09000011,Greenwich,2019,NVQ1 only,14800,195300,7.6,2.4
E09000011,Greenwich,2020,NVQ1 only,11500,197500,5.8,4.1
E09000011,Greenwich,2021,NVQ1 only,13700,202100,6.8,4.2
E09000012,Hackney,2004,NVQ1 only,13600,143600,9.4,2.3
E09000012,Hackney,2005,NVQ1 only,11200,145400,7.7,2.2
E09000012,Hackney,2006,NVQ1 only,10300,150800,6.8,1.9
E09000012,Hackney,2007,NVQ1 only,15200,155400,9.8,2.3
E09000012,Hackney,2008,NVQ1 only,9400,163500,5.8,1.8
E09000002,Barking and Dagenham,2008,NVQ1 only,15100,108400,14,2.7
E09000003,Barnet,2008,NVQ1 only,22800,223100,10.2,2.3
E09000004,Bexley,2008,NVQ1 only,24200,143500,16.8,3.3
E09000005,Brent,2008,NVQ1 only,15200,198600,7.7,2.2
