area,qualification,year,average
Outer London,no qualifications,2004,22045
Outer London,no qualifications,2005,20515
Outer London,no qualifications,2006,19260
Outer London,no qualifications,2007,21225
Outer London,no qualifications,2008,21940
Outer London,no qualifications,2009,21365
Outer London,no qualifications,2010,17960
Outer London,no qualifications,2011,15900
Outer London,no qualifications,2012,15440
Outer London,no qualifications,2013,13635
Outer London,no qualifications,2014,14120
Outer London,no qualifications,2015,13580
Outer London,no qualifications,2016,12195
Outer London,no qualifications,2017,12890
Outer London,no qualifications,2018,12560
Outer London,no qualifications,2019,12780
Outer London,no qualifications,2020,10465
Outer London,no qualifications,2021,10750
Outer London,NVQ1 only,2004,19370
Outer London,NVQ1 only,2005,18375
Outer London,NVQ1 only,2006,17630
Outer London,NVQ1 only,2007,17470
Outer London,NVQ1 only,2008,18680
Outer London,NVQ1 only,2009,18275
Outer London,NVQ1 only,2010,17685
Outer London,NVQ1 only,2011,19555
Outer London,NVQ1 only,2012,17005
Outer London,NVQ1 only,2013,17390
Outer London,NVQ1 only,2014,15840
Outer London,NVQ1 only,2015,16055
Outer London,NVQ1 only,2016,15590
Outer London,NVQ1 only,2017,14285
Outer London,NVQ1 only,2018,14060
Outer London,NVQ1 only,2019,14040
Outer London,NVQ1 only,2020,12590
Outer London,NVQ1 only,2021,11840
Outer London,NVQ2 only,2004,20935
Outer London,NVQ2 only,2005,20245
Outer London,NVQ2 only,2006,20005
Outer London,NVQ2 only,2007,20255
Outer London,NVQ2 only,2008,20840
Outer London,NVQ2 only,2009,21240
Outer London,NVQ2 only,2010,22695
Outer London,NVQ2 only,2011,23985
Outer London,NVQ2 only,2012,24080
Outer London,NVQ2 only,2013,24055
Outer London,NVQ2 only,2014,23440
Outer London,NVQ2 only,2015,22280
Outer London,NVQ2 only,2016,21940
Outer London,NVQ2 only,2017,22830
Outer London,NVQ2 only,2018,23320
Outer London,NVQ2 only,2019,23515
Outer London,NVQ2 only,2020,22230
Outer London,NVQ2 only,2021,20620
Outer London,NVQ3 only,2004,19585
Outer London,NVQ3 only,2005,19945
Outer London,NVQ3 only,2006,20170
Outer London,NVQ3 only,2007,20170
Outer London,NVQ3 only,2008,21360
Outer London,NVQ3 only,2009,22360
Outer London,NVQ3 only,2010,22610
Outer London,NVQ3 only,2011,23400
Outer London,NVQ3 only,2012,26860
Outer London,NVQ3 only,2013,25280
Outer London,NVQ3 only,2014,26580
Outer London,NVQ3 only,2015,27680
Outer London,NVQ3 only,2016,26500
Outer London,NVQ3 only,2017,26910
Outer London,NVQ3 only,2018,26500
Outer London,NVQ3 only,2019,24530
Outer London,NVQ3 only,2020,23895
Outer London,NVQ3 only,2021,24765
Outer London,NVQ4+,2004,43080
Outer London,NVQ4+,2005,47110
Outer London,NVQ4+,2006,49895
Outer London,NVQ4+,2007,52585
Outer London,NVQ4+,2008,55025
Outer London,NVQ4+,2009,57565
Outer London,NVQ4+,2010,61810
Outer London,NVQ4+,2011,69470
Outer London,NVQ4+,2012,73405
Outer London,NVQ4+,2013,77650
Outer London,NVQ4+,2014,78765
Outer London,NVQ4+,2015,81195
Outer London,NVQ4+,2016,87530
Outer London,NVQ4+,2017,83485
Outer London,NVQ4+,2018,88180
Outer London,NVQ4+,2019,91325
Outer London,NVQ4+,2020,101715
Outer London,NVQ4+,2021,101530
Outer London,other qualifications,2004,22385
Outer London,other qualifications,2005,23800
Outer London,other qualifications,2006,26260
Outer London,other qualifications,2007,24865
Outer London,other qualifications,2008,24900
Outer London,other qualifications,2009,25430
Outer London,other qualifications,2010,26015
Outer London,other qualifications,2011,18845
Outer London,other qualifications,2012,15770
Outer London,other qualifications,2013,15940
Outer London,other qualifications,2014,16715
Outer London,other qualifications,2015,16655
Outer London,other qualifications,2016,16355
Outer London,other qualifications,2017,19345
Outer London,other qualifications,2018,17645
Outer London,other qualifications,2019,17360
Outer London,other qualifications,2020,14210
Outer London,other qualifications,2021,14805
Outer London,Trade Apprenticeships,2004,6340
Outer London,Trade Apprenticeships,2005,5645
Outer London,Trade Apprenticeships,2006,4730
Outer London,Trade Apprenticeships,2007,3660
Outer London,Trade Apprenticeships,2008,3945
Outer London,Trade Apprenticeships,2009,3260
Outer London,Trade Apprenticeships,2010,3645
Outer London,Trade Apprenticeships,2011,2985
Outer London,Trade Apprenticeships,2012,3278.947368
Outer London,Trade Apprenticeships,2013,3555.555556
Outer London,Trade Apprenticeships,2014,3405
Outer London,Trade Apprenticeships,2015,3150
Outer London,Trade Apprenticeships,2016,3012.5
Outer London,Trade Apprenticeships,2017,2920
Outer London,Trade Apprenticeships,2018,2723.529412
Outer London,Trade Apprenticeships,2019,2831.25
Outer London,Trade Apprenticeships,2020,2738.461538
Outer London,Trade Apprenticeships,2021,2780
